Year,Party,Candidate,Orientation,OrientationN,Percent1,Percent2,Seats,Votes1,Votes2
2011,Peru Wins,Ollanta Humala,Left,2,31.7,51.44,47,4643064,7937704
2011,Possible Peru,Alejandro Toledo,Center,3,15.63,0,21,2289561,0
2011,National Solidarity,Luis Castaneda,Center,3,9.83,0,9,1440143,0
2011,Popular Force,Keiko Fujimori,Right,4,23.55,48.56,37,3449595,7492647
2011,Alliance for Great Change,Pedro Pablo Kuczynsky,Right,4,18.51,0,21,2711450,0
